id,brand,model,type,availability,link,image_link
MX3154-italika-atv-300,Italika,ATV 300,Cuatrimoto,out of stock,https://www.galgo.com/MX/motos/MX3154-italika-atv-300,https://images.ctfassets.net/8zlbnewncp6f/2epGq23QkSsmMjVTVUEhD3/0f917329d6288e96d3ef6af7de079b4b/Italika_ATV_300_Imagen_principal_Galgo.png
MX2624-cf-moto-700-cl-x-sport,CF Moto,700 Cl-X Sport,Café Racer,in stock,https://www.galgo.com/MX/motos/MX2624-cf-moto-700-cl-x-sport,https://images.ctfassets.net/8zlbnewncp6f/6el2Q163URXw7Fcq9ps8h5/c0a47144edcd2326e16ca88362f33d57/700_Cl_X_Sport_Imagen_principal_Galgo_México.jpg
MX645-vento-lithium-190,Vento,Lithium 190,Trabajo,out of stock,https://www.galgo.com/MX/motos/MX645-vento-lithium-190,https://images.ctfassets.net/8zlbnewncp6f/1zXemYJqe5CXctjs5s010t/7c8ef71b99b0bf395bf505ce56fa2bbb/Vento_Lithium_190_-_Galgo_M__xico_Principal.jpg
MX461-yamaha-xtz-150,Yamaha,XTZ 150,Doble Propósito,in stock,https://www.galgo.com/MX/motos/MX461-yamaha-xtz-150,https://images.ctfassets.net/8zlbnewncp6f/3qDdpf331ny2PPr2cVKAd5/66de88c58e0b99f42c2c318d65c24ae4/Imagen_principal__25_.png
MX404-vento-crossmax-250,Vento,Crossmax 250,Doble Propósito,out of stock,https://www.galgo.com/MX/motos/MX404-vento-crossmax-250,https://images.ctfassets.net/8zlbnewncp6f/4ZedhONwGGUIVXL01xu99z/698772d76a38433b9658662cb0b7b2ff/Vento-Crossmax-250.jpg
MX2805-hero-hunk-160r-4v,Hero,Hunk 160R 4V,Naked,out of stock,https://www.galgo.com/MX/motos/MX2805-hero-hunk-160r-4v,https://images.ctfassets.net/8zlbnewncp6f/fVooVrBTxXSgtyZ12EoyO/e1d12ae027591be066a8234e0648b228/Hero_Hunk_160R_4V_Imagen_principal_Galgo_México.png
MX1061-vento-falkon-220,Vento,Falkon 220,Naked,out of stock,https://www.galgo.com/MX/motos/MX1061-vento-falkon-220,https://images.ctfassets.net/8zlbnewncp6f/6Y32ziifkdaxPEPf8xdBqP/857996efe8844a65fd90b778bbd62b24/Moto_Vento_Falkon_220_2024_-_Galgo_M_xico_Principal.jpg
MX1304-italika-d150,Italika,D150,Motoneta,out of stock,https://www.galgo.com/MX/motos/MX1304-italika-d150,https://images.ctfassets.net/8zlbnewncp6f/78LYGPTEQYj6KaLI0qXAG5/3b4cfc2c9be258eeda70bb830ad5f86f/D150_2025_Imagen__principal_Galgo_M_xico.webp
MX2653-italika-tc-250,Italika,TC 250,Chopper,out of stock,https://www.galgo.com/MX/motos/MX2653-italika-tc-250,https://images.ctfassets.net/8zlbnewncp6f/26LhYqipSVTFd9RVA72WJG/25120a033002472fddd0d15c17e6014f/Moto_Italika_TC_250_Galgo_M_xico__2_.jpg
MX3015-tvs-rr-310-premium,TVS,RR 310 Premium,Deportiva,in stock,https://www.galgo.com/MX/motos/MX3015-tvs-rr-310-premium,https://images.ctfassets.net/8zlbnewncp6f/68ndvFs2Hs4kd5ELTKwWoM/cec111f98ddd5fcf95bb31c62557c007/Imagen_principal__14_.png
MX3079-dinamo-moto-tx,Dinamo,Moto TX,Trimoto,in stock,https://www.galgo.com/MX/motos/MX3079-dinamo-moto-tx,https://images.ctfassets.net/8zlbnewncp6f/5aIX9D7jiEOEtGwgj2zlAd/5d131039f54470ccd79d48ff8f689269/Dinamo_Moto_TX_Imagen_principal_Galgo_México.png
MX886-suzuki-huracan,Suzuki,Huracan,Trabajo,in stock,https://www.galgo.com/MX/motos/MX886-suzuki-huracan,https://images.ctfassets.net/8zlbnewncp6f/1z6UacuUnFMdkkJvYZlhrf/b4aa2f061a379b31b425e99ff016967a/Moto_Suzuki_Hurac_n_Galgo_M_xico_Con__Stock_Principal.jpg
MX3156-vento-yuma-250,Vento,Yuma 250,Cuatrimoto,in stock,https://www.galgo.com/MX/motos/MX3156-vento-yuma-250,https://images.ctfassets.net/8zlbnewncp6f/4DRoZT4fCW3mNzrHiUiEWb/62f1bbbf8d66cfb6db58964d6f2c6ba4/Vento_Yuma_250_Imagen_principal_Galgo.png
MX2960-cf-moto-675sr-r,CF Moto,675SR-R,Deportiva,in stock,https://www.galgo.com/MX/motos/MX2960-cf-moto-675sr-r,https://images.ctfassets.net/8zlbnewncp6f/5YFksbC1SfIRThf8ltPytj/1f1f6325e565ad2461e3c3b638eb9e02/CF_Moto_675SR-R_Galeria4_Galgo_México.png
MX2681-jiajue-sam-175,Jiajue,SAM 175,Motoneta,out of stock,https://www.galgo.com/MX/motos/MX2681-jiajue-sam-175,https://images.ctfassets.net/8zlbnewncp6f/39pXiYXaVurBCZCcqOTZTh/bdbeb89648538d0d2dad97cd2ae149bb/0200501023.jpg
MX432-vento-streetrod,Vento,Streetrod 170,Motoneta,out of stock,https://www.galgo.com/MX/motos/MX432-vento-streetrod,https://images.ctfassets.net/8zlbnewncp6f/5EShuX4HCnY1fkV84sUZ2M/ab566aaddced806bd5ed173df8e2cbff/Vento-Streetrod-2025-Imagen_principal.jpg
